ImageID,Source,LabelName,Confidence
7183696068f904ff,machine,/m/01350r,0.602119
7183696068f904ff,machine,/m/013y0j,0.755861
7183696068f904ff,machine,/m/019sc,0.900553
7183696068f904ff,machine,/m/019sc6,0.80481
7183696068f904ff,machine,/m/01f43,0.77385
7183696068f904ff,machine,/m/01g317,0.766153
7183696068f904ff,machine,/m/01kyr8,0.75204
7183696068f904ff,machine,/m/025rw19,0.597896
7183696068f904ff,machine,/m/02cwm,0.662121
7183696068f904ff,machine,/m/02g49,0.65511
7183696068f904ff,machine,/m/02p0tk3,0.713332
7183696068f904ff,machine,/m/02p16m6,0.67886
7183696068f904ff,machine,/m/02tx1k,0.571964
7183696068f904ff,machine,/m/02wzbmj,0.521212
7183696068f904ff,machine,/m/036jvk,0.685731
7183696068f904ff,machine,/m/04_fs,0.653056
7183696068f904ff,machine,/m/04hgtk,0.713125
7183696068f904ff,machine,/m/04k84,0.838493
7183696068f904ff,machine,/m/04t7l,0.519717
7183696068f904ff,machine,/m/05wkw,0.620742
7183696068f904ff,machine,/m/068jd,0.869787
7183696068f904ff,machine,/m/06pg22,0.776858
7183696068f904ff,machine,/m/06wqb,0.502847
7183696068f904ff,machine,/m/09q2t,0.527124
7183696068f904ff,machine,/m/0dgw9r,0.717107
7183696068f904ff,machine,/m/0gjyk,0.821945
7183696068f904ff,machine,/m/0h8p5l_,0.628755
7183696068f904ff,machine,/m/0jjw,0.8043
7183696068f904ff,machine,/m/0p9xx,0.776871
718369f0bb027907,machine,/m/012v8q,0.712518
718369f0bb027907,machine,/m/015s2f,0.957733
718369f0bb027907,machine,/m/016nsr,0.595541
718369f0bb027907,machine,/m/017m8l,0.598147
718369f0bb027907,machine,/m/0184rb,0.78047
718369f0bb027907,machine,/m/019gvf,0.575662
718369f0bb027907,machine,/m/01cv4r,0.734906
718369f0bb027907,machine,/m/01cv98,0.807454
718369f0bb027907,machine,/m/01cv9m,0.912731
718369f0bb027907,machine,/m/01fnns,0.874999
718369f0bb027907,machine,/m/01jb4,0.925585
718369f0bb027907,machine,/m/01txr2,0.532454
718369f0bb027907,machine,/m/021krv,0.535279
718369f0bb027907,machine,/m/023bbt,0.957393
718369f0bb027907,machine,/m/025s3q0,0.707055
718369f0bb027907,machine,/m/02_ktj,0.643256
718369f0bb027907,machine,/m/02hnx9,0.710828
718369f0bb027907,machine,/m/02jvk3,0.525636
718369f0bb027907,machine,/m/02l215,0.969425
718369f0bb027907,machine,/m/02ntq6,0.861953
718369f0bb027907,machine,/m/02py09,0.96869
718369f0bb027907,machine,/m/02yybg,0.695621
718369f0bb027907,machine,/m/02zr8,0.907165
718369f0bb027907,machine,/m/03d28y3,0.986414
718369f0bb027907,machine,/m/03d74ql,0.859153
718369f0bb027907,machine,/m/03kj4q,0.892889
718369f0bb027907,machine,/m/03ktm1,0.983304
718369f0bb027907,machine,/m/042g2h,0.672949
718369f0bb027907,machine,/m/04h4w,0.786192
718369f0bb027907,machine,/m/05gz5,0.74829
718369f0bb027907,machine,/m/05h0n,0.97044
718369f0bb027907,machine,/m/05mk1s,0.893471
718369f0bb027907,machine,/m/05s2s,0.736318
718369f0bb027907,machine,/m/05t0z3q,0.912431
718369f0bb027907,machine,/m/06600f2,0.628043
718369f0bb027907,machine,/m/06cnp,0.865878
718369f0bb027907,machine,/m/07j7r,0.952852
718369f0bb027907,machine,/m/0838f,0.895822
718369f0bb027907,machine,/m/093shy,0.659107
718369f0bb027907,machine,/m/096xlh,0.938515
718369f0bb027907,machine,/m/0cblv,0.666627
718369f0bb027907,machine,/m/0fpjpt,0.568255
718369f0bb027907,machine,/m/0j6jq,0.67916
718369f0bb027907,machine,/m/0pcm_,0.52185
718369f0bb027907,machine,/m/0pvlz,0.852197
718369f0bb027907,machine,/m/0swq_,0.966613
718369f0bb027907,machine,/m/0sx_x,0.600597
7183725f8dd99997,machine,/m/01g317,0.931918
7183725f8dd99997,machine,/m/01k74n,0.942895
7183725f8dd99997,machine,/m/01kr8f,0.756273
7183725f8dd99997,machine,/m/0215n,0.981745
7183725f8dd99997,machine,/m/02h7lkt,0.724006
7183725f8dd99997,machine,/m/03g09t,0.574812
7183725f8dd99997,machine,/m/06wqb,0.597254
7183725f8dd99997,machine,/m/095bb,0.983446
7183725f8dd99997,machine,/m/0hcr,0.876333
7183725f8dd99997,machine,/m/0jxy,0.704849
71836d169b8f9995,machine,/m/01cd9,0.502223
71836d169b8f9995,machine,/m/01jwgf,0.73116
71836d169b8f9995,machine,/m/01mf0,0.757469
71836d169b8f9995,machine,/m/01r9v,0.669697
71836d169b8f9995,machine,/m/01t3_,0.673049
71836d169b8f9995,machine,/m/01zbnw,0.741246
